CODDISA;NOMDISA;CODIGO_PRE;ESTABLEC;ALMTIPO_COMPLETO;ESTADO;UE;CODIGO_MED;NOMBRE;TIPO;ESTRATEGIC;FORMA_FARM;INDICADOR;MESANO;STOCK;CONSUMO;CPA;NMESES;DME
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04332;LAMOTRIGINA 50 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;4506;3282;273.5;12;16.48
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03078;ENALAPRIL MALEATO 10 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;4377;7931;660.916667;12;6.62
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04776;METRONIDAZOL 500 mg 100 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4328;3708;309;12;14.01
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;19239;BUPIVACAINA CLORHIDRATO + DEXTROSA 20 mg + 320 mg 4 mL INYECTABLE;M;SC/SD;INYECTABLE;SOBRESTOCK;202503;4291;2787;232.25;12;18.48
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03751;GENTAMICINA (COMO SULFATO) 40 mg/mL 2 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4274;3477;289.75;12;14.75
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;02004;CLONAZEPAM 2 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;4196;1531;139.181818;11;30.15
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00830;AMPICILINA SODICA 1 g  INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4160;5235;436.25;12;9.54
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03713;FUROSEMIDA 40 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;4053;3338;278.166667;12;14.57
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03317;ETILEFRINA 10 mg/mL 1 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;4025;2614;217.833333;12;18.48
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;00269;ALBENDAZOL 200 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;3807;5120;426.666667;12;8.92
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03451;FENITOINA SODICA 100 mg  TABLETA;M;SC/SD;TABLETA;NORMOSTOCK;202503;3609;11638;969.833333;12;3.72
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03789;DEXTROSA 5 g/100 mL (5 %) 1 L INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;3565;6322;526.833333;12;6.77
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04514;LORATADINA 10 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;3547;6152;512.666667;12;6.92
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;01467;CALCIO GLUCONATO 100 mg/mL (Equiv. a 8.4 mg/mL de Calc 10 mL INYECTABLE;M;SD;INYECTABLE;NORMOSTOCK;202503;3528;7136;594.666667;12;5.93
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;04365;LEVOFLOXACINO 500 mg  TABLETA;M;SD;TABLETA;SOBRESTOCK;202503;3471;3835;319.583333;12;10.86
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;05151;OMEPRAZOL (COMO SAL SODICA) 40 mg  INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;3315;3246;270.5;12;12.26
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03224;ESPIRONOLACTONA 25 mg  TABLETA;M;SC/SD;TABLETA;SOBRESTOCK;202503;3241;4115;342.916667;12;9.45
017;JUNIN;06615;HOSPITAL REGIONAL DOCENTE MATERNO INFANTIL EL CARMEN;HOSPITAL;A;U;03501;FENTANILO 50 µg/mL 10 mL INYECTABLE;M;SD;INYECTABLE;SOBRESTOCK;202503;3172;4587;382.25;12;8.3
